Job_Title,Company_Name,Location,Start_Date,Stipend,Duration,Last_Date
Operations,Urban Company,Bangalore,Immediately,8000 /month,2 Months,24 May' 21
Marketing,Nykaa,Bangalore,,3500-5000 /month,5 Months,19 May' 21
Web Development,Ericsson India Global Sevices Private Limited,Bangalore,Immediately,15000 /month,6 Months,17 May' 21
Software Development,TechMeridian Solutions Private Limited,Bangalore,Immediately,10000 /month,6 Months,27 May' 21
Computer Vision,Modaka Technologies Private Limited,Bangalore,Immediately,3000-5000 /month,4 Months,27 May' 21
Graphic Design,Tenshi Life Care,Bangalore,Immediately,10000 /month,3 Months,27 May' 21
Human Resources (HR),Duru Cooperation Private Limited,Bangalore,Immediately,25000 /month,6 Months,27 May' 21
Research & Development,Mobisy Technologies Private Limited,Bangalore,Immediately,12000-15000 /month,6 Months,27 May' 21
Business Development (Sales),Greendzine Technologies,Bangalore,Immediately,18000 /month +  Incentives,6 Months,27 May' 21
Social Media Marketing,Greendzine Technologies,Bangalore,Immediately,15000 /month +  Incentives,6 Months,27 May' 21
Social Media Marketing,TrustLogics,Bangalore,Immediately,15000 /month,6 Months,27 May' 21
Operations,Matter Gifting,Bangalore,Immediately,2000-6000 /month,1 Months,27 May' 21
Marketing,DhiSigma Systems Private Limited,Bangalore,Immediately,5000-10000 /month,1 Months,27 May' 21
Business Development (Sales),Fidelitus Corporation Property Services Private Limited,Bangalore,Immediately,10000 /month,1 Months,27 May' 21
Business Development (Sales),Taught,Bangalore,Immediately,8000 /month +  Incentives,3 Months,27 May' 21
Marketing,Basic Games LLP,Bangalore,Immediately,10000-20000 /month,3 Months,27 May' 21
Marketing,ByAndLarge: BAL CORPORATE SERVICES PRIVATE LIMITED,Bangalore,Immediately,6000 /month,2 Months,27 May' 21
Digital Marketing,TREEHACK,Bangalore,Immediately,9000 /month,3 Months,27 May' 21
Hospitality & Hotel Management,CBS Innovations,Bangalore,Immediately,2000-6000 /month,1 Months,26 May' 21
Web Development,Karibettu Private Limited,Bangalore,Immediately,12000 /month,6 Months,26 May' 21
Content Writing,Taught,Bangalore,Immediately,7000-10000 /month,3 Months,26 May' 21
Human Resources (HR),Pattem Digital Technologies Private Limited,Bangalore,Immediately,7000-12000 /month,6 Months,26 May' 21
Research & Development,Mobisy Technologies Private Limited,Bangalore,Immediately,12000-15000 /month,6 Months,26 May' 21
Business Development (Sales),CHETAN AGRO & FOODS PACKAGING,Bangalore,Immediately,6000 /month,3 Months,26 May' 21
Mobile App Development,Mockii,Bangalore,Immediately,5000 /month,6 Months,26 May' 21
Web Development,RCtechbox IT Services,Bangalore,Immediately,5000 /month,6 Months,26 May' 21
Web Development,Telyport Technologies Private Limited,Bangalore,Immediately,10000-20000 /month,6 Months,26 May' 21
Data Analytics & Decision Science,Cron Labs,Bangalore,Immediately,10000 /month,6 Months,26 May' 21
Human Resources (HR),NextG Apex India Private Limited,Bangalore,Immediately,10000 /month,6 Months,26 May' 21
Firmware Development,NUNAM (IMBUO EXPLORATION),Bangalore,Immediately,15000 /month,6 Months,26 May' 21
PHP Development,CloudInfra,Bangalore,Immediately,18000 /month,6 Months,26 May' 21
Digital Marketing,Nextwebi IT Solutions Private Limited,Bangalore,Immediately,8000 /month,3 Months,26 May' 21
Digital Marketing,Digital Vakil,Bangalore,Immediately,5000-10000 /month,1 Months,26 May' 21
Business Development (Sales),BusinessOnBot,Bangalore,Immediately,15500 /month,6 Months,25 May' 21
Digital Marketing,Vedic Wellness University,Bangalore,Immediately,4000-8000 /month,2 Months,25 May' 21
